train/ent_coef,time/time_elapsed,train/critic_loss,time/episodes,rollout/ep_len_mean,time/fps,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,train/std,train/actor_loss,train/learning_rate,train/n_updates
0.1553144007921219,5616,0.4957613945007324,4,1023.0,0,-3.3016202449798584,814.73373,4092,0.049690309911966324,-22.666488647460938,0.00073,3091
0.11736983805894852,12391,130.08193969726562,8,1023.0,0,5.1856560707092285,850.7473895,8184,0.04941666126251221,-48.208778381347656,0.00073,7183
0.06380316615104675,18175,1.314279556274414,12,1023.0,0,-1.2566109895706177,868.4627115833335,12276,0.04935888573527336,-51.7703857421875,0.00073,11275
0.041022248566150665,21601,0.8614368438720703,16,1023.0,0,2.0120904445648193,875.3996685,16368,0.04920802265405655,-60.471649169921875,0.00073,15367
0.0424107201397419,27031,0.7498506307601929,20,1023.0,0,-4.340084552764893,880.7803962,20460,0.04904484748840332,-66.42094421386719,0.00073,19459
0.03591202571988106,30737,0.5650894045829773,24,1023.0,0,2.953700065612793,882.7306797916666,24552,0.04889937862753868,-71.0154800415039,0.00073,23551
0.033158402889966965,37540,1.2690465450286865,28,1023.0,0,1.9723385572433472,884.6783975357142,28644,0.04886999726295471,-73.4852523803711,0.00073,27643
0.03311944380402565,41072,0.40674954652786255,32,1023.0,0,3.5649538040161133,885.548014125,32736,0.048795197159051895,-76.0074691772461,0.00073,31735
0.03256935626268387,44701,0.3412734866142273,36,1023.0,0,-6.31416654586792,886.4806109722222,36828,0.048749350011348724,-77.89092254638672,0.00073,35827
0.029422061517834663,48107,0.3805311322212219,40,1023.0,0,2.0926575660705566,886.2548041999999,40920,0.048711154609918594,-78.64152526855469,0.00073,39919
0.029653195291757584,53343,0.6705707311630249,44,1023.0,0,2.429619073867798,886.2123268863634,45012,0.04862401261925697,-78.88414001464844,0.00073,44011
